county_id,county_name
1,Bedfordshire
2,Berkshire
3,Bristol
4,Buckinghamshire
5,Cambridgeshire
6,Cheshire
7,City of London
8,Cornwall
9,County Durham
10,Cumbria
11,Derbyshire
12,Devon
13,Dorset
14,East Riding of Yorkshire
15,East Sussex
16,Essex
17,Gloucestershire
18,Greater London
19,Greater Manchester
20,Hampshire
21,Herefordshire
22,Hertfordshire
23,Humberside
24,Isle of Wight
25,Isles of Scilly
26,Kent
27,Lancashire
28,Leicestershire
29,Lincolnshire
30,Merseyside
31,Middlesex
32,Norfolk
33,North Somerset
34,North Yorkshire
35,Northamptonshire
36,Northumberland
37,Nottinghamshire
38,Oxfordshire
39,Rutland
40,Shropshire
41,Somerset
42,South Gloucestershire
43,South Yorkshire
44,Staffordshire
45,Suffolk
46,Surrey
47,Tyne & Wear
48,Warwickshire
49,West Midlands
50,West Sussex
51,West Yorkshire
52,Wiltshire
53,Worcestershire
99,Not applicable
